Area,Item,Element,per 1000 tonnes,
Afghanistan,Wheat and products,Food,4895,
Albania,Wheat and products,Food,440,
Algeria,Wheat and products,Food,7270,
Angola,Wheat and products,Food,874,
Antigua and Barbuda,Wheat and products,Food,6,
Argentina,Wheat and products,Food,4273,
Armenia,Wheat and products,Food,389,
Australia,Wheat and products,Food,1645,
Austria,Wheat and products,Food,689,
Azerbaijan,Wheat and products,Food,2093,
Bangladesh,Wheat and products,Food,2736,
Barbados,Wheat and products,Food,19,
Belarus,Wheat and products,Food,566,
Belgium,Wheat and products,Food,1243,
Belize,Wheat and products,Food,18,
Benin,Wheat and products,Food,135,
Bermuda,Wheat and products,Food,4,
Bolivia,Wheat and products,Food,533,
Bosnia and Herzegovina,Wheat and products,Food,358,
Botswana,Wheat and products,Food,77,
Brazil,Wheat and products,Food,10620,
Brunei Darussalam,Wheat and products,Food,18,
Bulgaria,Wheat and products,Food,875,
Burkina Faso,Wheat and products,Food,188,
Cabo Verde,Wheat and products,Food,19,
Cambodia,Wheat and products,Food,42,
Cameroon,Wheat and products,Food,503,
Canada,Wheat and products,Food,2989,
Central African Rep.,Wheat and products,Food,26,
Chad,Wheat and products,Food,119,
Chile,Wheat and products,Food,1845,
China,Wheat and products,Food,89386,
Colombia,Wheat and products,Food,1439,
Congo,Wheat and products,Food,178,
Costa Rica,Wheat and products,Food,192,
Côte d'Ivoire,Wheat and products,Food,421,
Croatia,Wheat and products,Food,457,
Cuba,Wheat and products,Food,615,
Cyprus,Wheat and products,Food,95,
Czechia,Wheat and products,Food,992,
South Korea,Wheat and products,Food,532,
Denmark,Wheat and products,Food,551,
Djibouti,Wheat and products,Food,104,
Dominica,Wheat and products,Food,5,
Dominican Republic,Wheat and products,Food,315,
Ecuador,Wheat and products,Food,617,
Egypt,Wheat and products,Food,12048,
El Salvador,Wheat and products,Food,179,
Estonia,Wheat and products,Food,115,
Ethiopia,Wheat and products,Food,2942,
Fiji,Wheat and products,Food,74,
Finland,Wheat and products,Food,445,
France,Wheat and products,Food,6971,
French Polynesia,Wheat and products,Food,19,
Gabon,Wheat and products,Food,105,
Gambia,Wheat and products,Food,70,
Georgia,Wheat and products,Food,709,
Germany,Wheat and products,Food,6900,
Ghana,Wheat and products,Food,374,
Greece,Wheat and products,Food,1380,
Grenada,Wheat and products,Food,6,
Guatemala,Wheat and products,Food,555,
Guinea,Wheat and products,Food,218,
Guinea-Bissau,Wheat and products,Food,19,
Guyana,Wheat and products,Food,48,
Haiti,Wheat and products,Food,166,
Honduras,Wheat and products,Food,302,
Hungary,Wheat and products,Food,1095,
Iceland,Wheat and products,Food,24,
India,Wheat and products,Food,75833,
Indonesia,Wheat and products,Food,6360,
Iran,Wheat and products,Food,11873,
Iraq,Wheat and products,Food,4608,
Ireland,Wheat and products,Food,500,
Israel,Wheat and products,Food,857,
Italy,Wheat and products,Food,8927,
Jamaica,Wheat and products,Food,197,
Japan,Wheat and products,Food,5727,
Jordan,Wheat and products,Food,995,
Kazakhstan,Wheat and products,Food,1518,
Kenya,Wheat and products,Food,1537,
Kiribati,Wheat and products,Food,5,
Kuwait,Wheat and products,Food,326,
Kyrgyzstan,Wheat and products,Food,716,
Laos,Wheat and products,Food,13,
Latvia,Wheat and products,Food,148,
Lebanon,Wheat and products,Food,577,
Lesotho,Wheat and products,Food,109,
Liberia,Wheat and products,Food,47,
Lithuania,Wheat and products,Food,367,
Luxembourg,Wheat and products,Food,55,
Madagascar,Wheat and products,Food,206,
Malawi,Wheat and products,Food,193,
Malaysia,Wheat and products,Food,1517,
Maldives,Wheat and products,Food,27,
Mali,Wheat and products,Food,191,
Malta,Wheat and products,Food,60,
Mauritania,Wheat and products,Food,392,
Mauritius,Wheat and products,Food,142,
Mexico,Wheat and products,Food,4308,
Mongolia,Wheat and products,Food,354,
Montenegro,Wheat and products,Food,76,
Morocco,Wheat and products,Food,5932,
Mozambique,Wheat and products,Food,378,
Myanmar,Wheat and products,Food,331,
Namibia,Wheat and products,Food,84,
Nepal,Wheat and products,Food,1403,
Netherlands,Wheat and products,Food,1176,
New Caledonia,Wheat and products,Food,21,
New Zealand,Wheat and products,Food,347,
Nicaragua,Wheat and products,Food,171,
Niger,Wheat and products,Food,85,
Nigeria,Wheat and products,Food,3615,
Norway,Wheat and products,Food,490,
Oman,Wheat and products,Food,233,
Pakistan,Wheat and products,Food,20696,
Panama,Wheat and products,Food,151,
Paraguay,Wheat and products,Food,214,
Peru,Wheat and products,Food,1705,
Philippines,Wheat and products,Food,2275,
Poland,Wheat and products,Food,4159,
Portugal,Wheat and products,Food,1000,
North Korea,Wheat and products,Food,2505,
Republic of Moldova,Wheat and products,Food,167,
Romania,Wheat and products,Food,2926,
Russia,Wheat and products,Food,18710,
Rwanda,Wheat and products,Food,134,
Saint Kitts and Nevis,Wheat and products,Food,3,
Saint Lucia,Wheat and products,Food,17,
Saint Vincent and the Grenadines,Wheat and products,Food,8,
Samoa,Wheat and products,Food,12,
Sao Tome and Principe,Wheat and products,Food,11,
Saudi Arabia,Wheat and products,Food,2579,
Senegal,Wheat and products,Food,527,
Serbia,Wheat and products,Food,1007,
Sierra Leone,Wheat and products,Food,53,
Slovakia,Wheat and products,Food,674,
Slovenia,Wheat and products,Food,214,
Solomon Islands,Wheat and products,Food,14,
South Africa,Wheat and products,Food,3174,
Spain,Wheat and products,Food,4405,
Sri Lanka,Wheat and products,Food,787,
Sudan,Wheat and products,Food,855,
Suriname,Wheat and products,Food,28,
Swaziland,Wheat and products,Food,46,
Sweden,Wheat and products,Food,762,
Switzerland,Wheat and products,Food,723,
Tajikistan,Wheat and products,Food,1072,
Thailand,Wheat and products,Food,733,
Timor-Leste,Wheat and products,Food,16,
Togo,Wheat and products,Food,88,
Trinidad and Tobago,Wheat and products,Food,121,
Tunisia,Wheat and products,Food,2172,
Turkey,Wheat and products,Food,12736,
Turkmenistan,Wheat and products,Food,990,
Uganda,Wheat and products,Food,381,
Ukraine,Wheat and products,Food,4757,
United Arab Emirates,Wheat and products,Food,947,
United Kingdom,Wheat and products,Food,6251,
United Republic of Tanzania,Wheat and products,Food,785,
United States of America,Wheat and products,Food,25742,
Uruguay,Wheat and products,Food,372,
Uzbekistan,Wheat and products,Food,4907,
Vanuatu,Wheat and products,Food,13,
Venezuela,Wheat and products,Food,1495,
VietNam,Wheat and products,Food,962,
Yemen,Wheat and products,Food,2691,
Zambia,Wheat and products,Food,176,
Zimbabwe,Wheat and products,Food,443,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
